33.88064,-78.51487,14.2,2013-11-07,21:52:06,2,CDE - Altair
33.88064,-78.51397,12.6,2010-10-25,15:05:30,1.3,C7C - Chez Nous
33.88065,-78.51485,13.0,2013-06-17,12:23:54,0,1A1 - Marina Life
33.88065,-78.51480,19.1,2012-05-21,12:21:16,2,C7C - Altair
33.88065,-78.51445,19.3,2012-11-02,13:41:07,2,C7C - Altair
33.88066,-78.51437,17.6,2014-05-23,17:10:16,2,CDE - Altair
33.88067,-78.51477,14.6,2013-11-07,21:52:04,2,CDE - Altair
33.88067,-78.51473,19.4,2012-05-21,12:21:18,2,C7C - Altair
33.88067,-78.51460,17.0,2011-11-11,16:15:50,2,C7C - Altair
33.88067,-78.51447,16.7,2013-04-14,11:47:46,2,C7C - Altair
33.88067,-78.51389,13.0,2010-10-25,15:05:28,1.3,C7C - Chez Nous
33.88068,-78.51478,12.7,2013-06-17,12:23:56,0,1A1 - Marina Life
33.88068,-78.51465,19.0,2012-05-21,12:21:20,2,C7C - Altair
33.88068,-78.51450,17.2,2011-11-11,16:15:48,2,C7C - Altair
33.88068,-78.51437,16.3,2013-04-14,11:47:48,2,C7C - Altair
33.88068,-78.51435,19.1,2012-11-02,13:41:05,2,C7C - Altair
33.88068,-78.51428,17.8,2014-05-23,17:10:18,2,CDE - Altair
33.88070,-78.51466,14.2,2013-11-07,21:52:02,2,CDE - Altair
33.88070,-78.51457,19.2,2012-05-21,12:21:22,2,C7C - Altair
33.88070,-78.51450,19.5,2012-05-21,12:21:24,2,C7C - Altair
33.88070,-78.51427,16.4,2013-04-14,11:47:50,2,C7C - Altair
33.88070,-78.51418,17.3,2014-05-23,17:10:20,2,CDE - Altair
33.88070,-78.51381,13.0,2010-10-25,15:05:26,1.3,C7C - Chez Nous
33.88072,-78.51472,12.7,2013-06-17,12:23:58,0,1A1 - Marina Life
33.88072,-78.51463,12.8,2013-06-17,12:24:01,0,1A1 - Marina Life
33.88072,-78.51455,14.3,2013-11-07,21:52:00,2,CDE - Altair
33.88072,-78.51442,19.6,2012-05-21,12:21:26,2,C7C - Altair
33.88072,-78.51440,17.4,2011-11-11,16:15:46,2,C7C - Altair
33.88072,-78.51408,17.4,2014-05-23,17:10:22,2,CDE - Altair
33.88072,-78.51373,13.5,2010-10-25,15:05:24,1.3,C7C - Chez Nous
33.88073,-78.51455,12.8,2013-06-17,12:24:03,0,1A1 - Marina Life
33.88073,-78.51433,19.7,2012-05-21,12:21:28,2,C7C - Altair
33.88073,-78.51430,17.4,2011-11-11,16:15:44,2,C7C - Altair
33.88073,-78.51417,16.5,2013-04-14,11:47:52,2,C7C - Altair
33.88074,-78.51399,17.3,2014-05-23,17:10:24,2,CDE - Altair
33.88075,-78.51445,14.6,2013-11-07,21:51:58,2,CDE - Altair
33.88075,-78.51427,19.8,2012-05-21,12:21:30,2,C7C - Altair
33.88075,-78.51407,16.9,2013-04-14,11:47:54,2,C7C - Altair
33.88076,-78.51390,17.3,2014-05-23,17:10:26,2,CDE - Altair
33.88076,-78.51365,13.9,2010-10-25,15:05:22,1.3,C7C - Chez Nous
33.88077,-78.51448,12.9,2013-06-17,12:24:05,0,1A1 - Marina Life
33.88077,-78.51420,17.1,2011-11-11,16:15:42,2,C7C - Altair
33.88077,-78.51418,20.4,2012-05-21,12:21:32,2,C7C - Altair
33.88077,-78.51392,18.3,2012-11-02,13:40:55,2,C7C - Altair
33.88078,-78.51442,12.7,2013-06-17,12:24:07,0,1A1 - Marina Life
33.88078,-78.51434,14.6,2013-11-07,21:51:56,2,CDE - Altair
33.88078,-78.51410,19.8,2012-05-21,12:21:34,2,C7C - Altair
33.88078,-78.51397,16.3,2013-04-14,11:47:56,2,C7C - Altair
33.88079,-78.51381,17.2,2014-05-23,17:10:28,2,CDE - Altair
33.88079,-78.51356,13.9,2010-10-25,15:05:20,1.3,C7C - Chez Nous
33.88080,-78.51433,12.7,2013-06-17,12:24:09,0,1A1 - Marina Life
33.88080,-78.51424,14.2,2013-11-07,21:51:54,2,CDE - Altair
33.88080,-78.51408,17.1,2011-11-11,16:15:40,2,C7C - Altair
33.88080,-78.51403,19.8,2012-05-21,12:21:36,2,C7C - Altair
33.88080,-78.51387,16.6,2013-04-14,11:47:58,2,C7C - Altair
33.88080,-78.51383,18.3,2012-11-02,13:40:53,2,C7C - Altair
33.88081,-78.51372,17.0,2014-05-23,17:10:30,2,CDE - Altair
33.88081,-78.51348,14.7,2010-10-25,15:05:18,1.3,C7C - Chez Nous
33.88082,-78.51398,17.0,2011-11-11,16:15:38,2,C7C - Altair
33.88082,-78.51395,20.1,2012-05-21,12:21:38,2,C7C - Altair
33.88082,-78.51375,18.1,2012-11-02,13:40:51,2,C7C - Altair
33.88083,-78.51423,12.6,2013-06-17,12:24:12,0,1A1 - Marina Life
33.88083,-78.51417,13.1,2013-06-17,12:24:14,0,1A1 - Marina Life
33.88083,-78.51413,14.9,2013-11-07,21:51:52,2,CDE - Altair
33.88083,-78.51387,19.6,2012-05-21,12:21:40,2,C7C - Altair
33.88083,-78.51377,16.6,2013-04-14,11:48:00,2,C7C - Altair
33.88083,-78.51367,17.9,2012-11-02,13:40:49,2,C7C - Altair
33.88083,-78.51363,16.9,2014-05-23,17:10:32,2,CDE - Altair
33.88084,-78.51340,14.5,2010-10-25,15:05:16,1.3,C7C - Chez Nous
33.88085,-78.51388,16.8,2011-11-11,16:15:36,2,C7C - Altair
33.88085,-78.51380,19.5,2012-05-21,12:21:42,2,C7C - Altair
33.88085,-78.51367,15.8,2013-04-14,11:48:02,2,C7C - Altair
33.88085,-78.51358,17.8,2012-11-02,13:40:47,2,C7C - Altair
33.88085,-78.51355,16.7,2014-05-23,17:10:34,2,CDE - Altair
33.88086,-78.51403,14.3,2013-11-07,21:51:50,2,CDE - Altair
33.88086,-78.51332,14.5,2010-10-25,15:05:14,1.3,C7C - Chez Nous
33.88087,-78.51408,12.4,2013-06-17,12:24:16,0,1A1 - Marina Life
33.88087,-78.51372,20.1,2012-05-21,12:21:44,2,C7C - Altair
33.88087,-78.51350,17.7,2012-11-02,13:40:45,2,C7C - Altair
33.88088,-78.51402,12.4,2013-06-17,12:24:17,0,1A1 - Marina Life
33.88088,-78.51392,14.7,2013-11-07,21:51:48,2,CDE - Altair
33.88088,-78.51378,16.9,2011-11-11,16:15:34,2,C7C - Altair
33.88088,-78.51363,19.6,2012-05-21,12:21:46,2,C7C - Altair
33.88088,-78.51357,16.1,2013-04-14,11:48:04,2,C7C - Altair
33.88088,-78.51346,16.6,2014-05-23,17:10:36,2,CDE - Altair
33.88088,-78.51342,17.6,2012-11-02,13:40:43,2,C7C - Altair
33.88088,-78.51323,14.6,2010-10-25,15:05:12,1.3,C7C - Chez Nous
33.88090,-78.51395,12.4,2013-06-17,12:24:20,0,1A1 - Marina Life
33.88090,-78.51367,16.6,2011-11-11,16:15:32,2,C7C - Altair
33.88090,-78.51357,19.2,2012-05-21,12:21:48,2,C7C - Altair
33.88090,-78.51347,15.7,2013-04-14,11:48:06,2,C7C - Altair
33.88090,-78.51338,17.0,2014-05-23,17:10:38,2,CDE - Altair
33.88090,-78.51333,17.1,2012-11-02,13:40:41,2,C7C - Altair
33.88091,-78.51382,14.1,2013-11-07,21:51:46,2,CDE - Altair
33.88091,-78.51315,14.4,2010-10-25,15:05:10,1.3,C7C - Chez Nous
33.88092,-78.51348,19.2,2012-05-21,12:21:50,2,C7C - Altair
